"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-09","11.18","0.00","74","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-10","11.63","0.46","70","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-11","16.33","0.20","79","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-12","9.84","0.00","73","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-13","10.51","0.64","66","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-14","15.21","0.00","75","59"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-15","14.32","0.00","75","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-16","10.51","0.12","76","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-17","5.59","0.00","76","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-18","5.37","1.38","76","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-19","7.83","0.03","69","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-20","7.61","0.75","76","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-21","14.32","0.58","80","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-22","14.99","0.00","82","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-23","12.30","0.00","85","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-24","9.62","0.00","83","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-25","6.49","0.21","81","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-26","10.29","0.00","86","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-27","6.49","0.00","91","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-28","5.82","0.00","88","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-29","10.51","0.03","89","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-30","16.11","0.06","87","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-01","10.29","0.00","86","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-02","8.05","0.03","89","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-03","5.59","0.06","86","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-04","6.04","0.00","87","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-05","7.16","0.00","83","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-06","9.40","0.00","87","75"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-07","9.62","0.00","85","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-08","5.82","0.01","78","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-09","9.62","0.00","89","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-10","10.29","0.00","88","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-11","10.74","0.72","83","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-12","12.08","0.00","90","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-13","10.96","0.00","85","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-14","12.08","0.00","93","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-15","10.96","0.00","86","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-16","10.74","0.00","87","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-17","11.18","0.79","90","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-18","7.38","0.09","86","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-19","8.50","0.00","84","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-20","11.41","0.00","99","78"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-21","11.63","0.03","99","80"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-22","9.40","1.59","87","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-23","8.50","2.07","76","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-07-24","7.38","0.00","84","65"
